Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,112.420000mm,63.640000mm,Top,180.0,112.420000mm,63.640000mm
C2,124.460000mm,138.380000mm,Top,-90.0,124.460000mm,138.380000mm
C3,124.500000mm,80.100000mm,Top,-90.0,124.500000mm,80.100000mm
C4,124.460000mm,24.080000mm,Top,-90.0,124.460000mm,24.080000mm
C5,104.140000mm,138.475000mm,Top,-90.0,104.140000mm,138.475000mm
C6,104.140000mm,80.000000mm,Top,-90.0,104.140000mm,80.000000mm
C7,104.140000mm,24.175000mm,Top,-90.0,104.140000mm,24.175000mm
C8,113.030000mm,112.980000mm,Top,180.0,113.030000mm,112.980000mm
C9,113.030000mm,102.820000mm,Top,180.0,113.030000mm,102.820000mm
C10,149.900000mm,160.575000mm,Top,90.0,149.900000mm,160.575000mm
C11,149.900000mm,157.575000mm,Top,90.0,149.900000mm,157.575000mm
C12,139.200000mm,159.200000mm,Top,-90.0,139.200000mm,159.200000mm
C13,112.420000mm,54.140000mm,Top,180.0,112.420000mm,54.140000mm
D1,51.300000mm,8.300000mm,Top,90.0,51.300000mm,8.300000mm
D2,154.300000mm,159.100000mm,Top,180.0,154.300000mm,159.100000mm
F1,41.400000mm,16.420000mm,Top,180.0,41.400000mm,16.420000mm
F2,151.800000mm,138.742860mm,Top,0.0,151.800000mm,138.742860mm
F3,151.800000mm,142.357145mm,Top,0.0,151.800000mm,142.357145mm
F4,151.800000mm,145.971430mm,Top,0.0,151.800000mm,145.971430mm
F5,151.800000mm,149.585715mm,Top,0.0,151.800000mm,149.585715mm
F6,151.800000mm,153.200000mm,Top,0.0,151.800000mm,153.200000mm
F7,151.800000mm,127.900000mm,Top,0.0,151.800000mm,127.900000mm
F8,151.800000mm,131.514290mm,Top,0.0,151.800000mm,131.514290mm
F9,151.800000mm,135.128575mm,Top,0.0,151.800000mm,135.128575mm
J1,179.000000mm,40.800000mm,Top,90.0,179.000000mm,40.800000mm
J2,10.750000mm,121.200000mm,Top,0.0,10.750000mm,121.200000mm
J3,140.925000mm,3.220000mm,Top,90.0,140.925000mm,3.220000mm
J5,40.005000mm,8.165000mm,Top,0.0,40.005000mm,8.165000mm
J6,140.925000mm,64.180000mm,Top,90.0,140.925000mm,64.180000mm
J7,140.925000mm,84.500000mm,Top,90.0,140.925000mm,84.500000mm
J8,140.925000mm,104.820000mm,Top,90.0,140.925000mm,104.820000mm
J9,140.925000mm,43.860000mm,Top,90.0,140.925000mm,43.860000mm
J18,10.750000mm,103.420000mm,Top,0.0,10.750000mm,103.420000mm
J19,164.500000mm,87.300000mm,Top,0.0,164.500000mm,87.300000mm
J20,10.750000mm,90.720000mm,Top,0.0,10.750000mm,90.720000mm
J21,18.370000mm,111.040000mm,Top,0.0,18.370000mm,111.040000mm
J22,18.370000mm,88.180000mm,Top,0.0,18.370000mm,88.180000mm
J23,64.090000mm,120.184000mm,Top,0.0,64.090000mm,120.184000mm
J24,64.090000mm,93.260000mm,Top,0.0,64.090000mm,93.260000mm
J25,71.710000mm,121.180000mm,Top,0.0,71.710000mm,121.180000mm
J26,71.710000mm,95.780000mm,Top,0.0,71.710000mm,95.780000mm
J27,71.710000mm,80.540000mm,Top,0.0,71.710000mm,80.540000mm
J28,71.710000mm,39.900000mm,Top,0.0,71.710000mm,39.900000mm
Q1,145.462500mm,138.742860mm,Top,180.0,145.462500mm,138.742860mm
Q2,145.462500mm,142.357145mm,Top,180.0,145.462500mm,142.357145mm
Q3,145.462500mm,145.971430mm,Top,180.0,145.462500mm,145.971430mm
Q4,145.462500mm,149.585715mm,Top,180.0,145.462500mm,149.585715mm
Q5,145.462500mm,153.200000mm,Top,180.0,145.462500mm,153.200000mm
Q6,145.462500mm,127.900000mm,Top,180.0,145.462500mm,127.900000mm
Q7,145.462500mm,131.514290mm,Top,180.0,145.462500mm,131.514290mm
Q8,145.462500mm,135.128575mm,Top,180.0,145.462500mm,135.128575mm
R1,120.650000mm,118.060000mm,Top,180.0,120.650000mm,118.060000mm
R2,120.650000mm,114.250000mm,Top,180.0,120.650000mm,114.250000mm
R3,120.650000mm,107.900000mm,Top,180.0,120.650000mm,107.900000mm
R4,111.620000mm,59.465000mm,Top,90.0,111.620000mm,59.465000mm
R5,113.520000mm,59.465000mm,Top,-90.0,113.520000mm,59.465000mm
R6,99.620000mm,52.440000mm,Top,90.0,99.620000mm,52.440000mm
R7,97.600000mm,52.425000mm,Top,-90.0,97.600000mm,52.425000mm
R8,111.620000mm,50.040000mm,Top,90.0,111.620000mm,50.040000mm
R9,113.520000mm,50.040000mm,Top,-90.0,113.520000mm,50.040000mm
R10,99.620000mm,61.940000mm,Top,90.0,99.620000mm,61.940000mm
R11,97.620000mm,61.940000mm,Top,-90.0,97.620000mm,61.940000mm
R12,120.650000mm,104.090000mm,Top,180.0,120.650000mm,104.090000mm
R13,51.300000mm,4.700000mm,Top,90.0,51.300000mm,4.700000mm
R14,141.500000mm,138.842860mm,Top,90.0,141.500000mm,138.842860mm
R15,141.500000mm,142.457145mm,Top,90.0,141.500000mm,142.457145mm
R16,141.500000mm,146.071430mm,Top,90.0,141.500000mm,146.071430mm
R17,141.500000mm,149.685715mm,Top,90.0,141.500000mm,149.685715mm
R18,141.500000mm,153.300000mm,Top,90.0,141.500000mm,153.300000mm
R19,141.500000mm,128.000000mm,Top,90.0,141.500000mm,128.000000mm
R20,141.500000mm,131.614290mm,Top,90.0,141.500000mm,131.614290mm
R21,141.500000mm,135.228575mm,Top,90.0,141.500000mm,135.228575mm
R22,157.900000mm,136.975000mm,Top,90.0,157.900000mm,136.975000mm
R23,157.900000mm,141.625000mm,Top,-90.0,157.900000mm,141.625000mm
R24,158.700000mm,154.700000mm,Top,180.0,158.700000mm,154.700000mm
R25,158.700000mm,156.600000mm,Top,0.0,158.700000mm,156.600000mm
R26,162.700000mm,154.700000mm,Top,0.0,162.700000mm,154.700000mm
R27,162.700000mm,156.600000mm,Top,180.0,162.700000mm,156.600000mm
R28,166.700000mm,154.700000mm,Top,180.0,166.700000mm,154.700000mm
R29,166.700000mm,156.600000mm,Top,0.0,166.700000mm,156.600000mm
R30,166.600000mm,161.100000mm,Top,180.0,166.600000mm,161.100000mm
R31,166.600000mm,159.200000mm,Top,0.0,166.600000mm,159.200000mm
R32,158.700000mm,161.100000mm,Top,180.0,158.700000mm,161.100000mm
R33,158.700000mm,159.200000mm,Top,0.0,158.700000mm,159.200000mm
R34,162.700000mm,161.100000mm,Top,0.0,162.700000mm,161.100000mm
R35,162.700000mm,159.200000mm,Top,180.0,162.700000mm,159.200000mm
R36,170.800000mm,161.100000mm,Top,0.0,170.800000mm,161.100000mm
R37,170.800000mm,159.200000mm,Top,180.0,170.800000mm,159.200000mm
R38,164.800000mm,15.200000mm,Top,180.0,164.800000mm,15.200000mm
R39,164.800000mm,17.000000mm,Top,180.0,164.800000mm,17.000000mm
R40,159.225000mm,38.300000mm,Top,90.0,159.225000mm,38.300000mm
R41,159.225000mm,41.500000mm,Top,90.0,159.225000mm,41.500000mm
R42,168.775000mm,17.025000mm,Top,0.0,168.775000mm,17.025000mm
R43,168.775000mm,15.225000mm,Top,180.0,168.775000mm,15.225000mm
R44,164.800000mm,9.000000mm,Top,180.0,164.800000mm,9.000000mm
R45,164.800000mm,10.800000mm,Top,0.0,164.800000mm,10.800000mm
R46,168.825000mm,9.000000mm,Top,0.0,168.825000mm,9.000000mm
R47,168.975000mm,72.500000mm,Top,0.0,168.975000mm,72.500000mm
R48,168.975000mm,70.700000mm,Top,180.0,168.975000mm,70.700000mm
R49,168.825000mm,10.800000mm,Top,180.0,168.825000mm,10.800000mm
R50,168.975000mm,64.900000mm,Top,0.0,168.975000mm,64.900000mm
R51,168.975000mm,66.700000mm,Top,180.0,168.975000mm,66.700000mm
R52,164.800000mm,72.500000mm,Top,180.0,164.800000mm,72.500000mm
R53,164.800000mm,70.700000mm,Top,0.0,164.800000mm,70.700000mm
R54,164.800000mm,64.900000mm,Top,180.0,164.800000mm,64.900000mm
R55,164.800000mm,66.700000mm,Top,0.0,164.800000mm,66.700000mm
R56,151.400000mm,159.100000mm,Top,-90.0,151.400000mm,159.100000mm
R58,170.825000mm,154.700000mm,Top,0.0,170.825000mm,154.700000mm
R59,170.825000mm,156.600000mm,Top,180.0,170.825000mm,156.600000mm
RN1,91.440000mm,151.080000mm,Top,90.0,91.440000mm,151.080000mm
RN2,99.060000mm,151.080000mm,Top,90.0,99.060000mm,151.080000mm
RN3,99.060000mm,130.760000mm,Top,-90.0,99.060000mm,130.760000mm
RN4,91.440000mm,130.760000mm,Top,-90.0,91.440000mm,130.760000mm
RN5,91.440000mm,92.660000mm,Top,-90.0,91.440000mm,92.660000mm
RN6,99.060000mm,92.660000mm,Top,-90.0,99.060000mm,92.660000mm
RN7,99.060000mm,72.340000mm,Top,90.0,99.060000mm,72.340000mm
RN8,91.440000mm,72.340000mm,Top,90.0,91.440000mm,72.340000mm
RN9,91.440000mm,36.780000mm,Top,-90.0,91.440000mm,36.780000mm
RN10,99.060000mm,36.780000mm,Top,-90.0,99.060000mm,36.780000mm
RN11,99.060000mm,16.460000mm,Top,90.0,99.060000mm,16.460000mm
RN12,91.440000mm,16.460000mm,Top,90.0,91.440000mm,16.460000mm
RN13,97.910000mm,115.310000mm,Top,180.0,97.910000mm,115.310000mm
RN14,97.910000mm,108.960000mm,Top,180.0,97.910000mm,108.960000mm
U1,105.500000mm,60.700000mm,Top,0.0,105.500000mm,60.700000mm
U2,114.300000mm,140.920000mm,Top,180.0,114.300000mm,140.920000mm
U3,114.300000mm,82.500000mm,Top,180.0,114.300000mm,82.500000mm
U4,114.300000mm,26.620000mm,Top,180.0,114.300000mm,26.620000mm
U5,93.980000mm,140.920000mm,Top,180.0,93.980000mm,140.920000mm
U6,93.980000mm,82.500000mm,Top,180.0,93.980000mm,82.500000mm
U7,93.980000mm,26.620000mm,Top,180.0,93.980000mm,26.620000mm
U8,113.030000mm,116.790000mm,Top,270.0,113.030000mm,116.790000mm
U9,113.030000mm,106.630000mm,Top,270.0,113.030000mm,106.630000mm
U10,90.170000mm,112.980000mm,Top,270.0,90.170000mm,112.980000mm
U11,105.520000mm,51.240000mm,Top,0.0,105.520000mm,51.240000mm
U12,144.400000mm,159.100000mm,Top,270.0,144.400000mm,159.100000mm
