Designator,Mid X,Mid Y,Rotation,Layer
C1,233.68,-161.25,180,top
C2,251.46,-73.62,-90,top
C3,251.5,-131.9,-90,top
C4,251.46,-187.92,-90,top
C5,231.14,-73.525,-90,top
C6,231.14,-132,-90,top
C7,231.14,-187.825,-90,top
C8,240.03,-99.02,180,top
C9,240.03,-109.18,180,top
D1,178.3,-203.7,90,top
F1,168.4,-195.58,180,top
J1,293.02,-127.5,90,top
J2,267.925,-168.14,90,top
J3,293.02,-208.78,90,top
J5,167.005,-203.835,0,top
J6,267.925,-188.459999,90,top
J7,267.925,-86.86,90,top
J8,267.925,-66.54,90,top
J9,267.925,-208.78,90,top
R1,247.65,-93.94,180,top
R2,247.65,-97.75,180,top
R3,247.65,-104.1,180,top
R4,227.33,-155.4,0,top
R5,223.52,-155.4,0,top
R6,227.375,-159.5,0,top
R7,223.565,-159.5,0,top
R8,239.925,-159.5,180,top
R9,243.735,-159.5,180,top
R10,239.925,-155.4,180,top
R11,243.735,-155.4,180,top
R12,247.65,-107.91,180,top
R13,178.3,-207.3,90,top
RN1,218.44,-60.92,90,top
RN2,226.06,-60.92,90,top
RN3,226.06,-81.24,-90,top
RN4,218.44,-81.24,-90,top
RN5,218.44,-119.34,-90,top
RN6,226.06,-119.34,-90,top
RN7,226.06,-139.66,90,top
RN8,218.44,-139.66,90,top
RN9,218.44,-175.22,-90,top
RN10,226.06,-175.22,-90,top
RN11,226.06,-195.54,90,top
RN12,218.44,-195.54,90,top
RN13,224.91,-96.69,180,top
RN14,224.91,-103.04,180,top
U1,233.68,-157.44,0,top
U2,241.3,-71.08,-90,top
U3,241.3,-129.5,-90,top
U4,241.3,-185.38,-90,top
U5,220.98,-71.08,-90,top
U6,220.98,-129.5,-90,top
U7,220.98,-185.38,-90,top
U8,240.03,-95.21,0,top
U9,240.03,-105.37,0,top
U10,217.17,-99.02,0,top
U11,169.5,-125.73,0,top
